protocol_id,protocol_name,phase,status,target_enrollment
PROT_001,Clinical Trial Protocol 1,Phase II,Completed,164
PROT_002,Clinical Trial Protocol 2,Phase I,Active,98
PROT_003,Clinical Trial Protocol 3,Phase III,Completed,46
PROT_004,Clinical Trial Protocol 4,Phase II,Active,298
PROT_005,Clinical Trial Protocol 5,Phase III,Completed,179
PROT_006,Clinical Trial Protocol 6,Phase II,Active,59
PROT_007,Clinical Trial Protocol 7,Phase II,Active,52
PROT_008,Clinical Trial Protocol 8,Phase I,Active,141
PROT_009,Clinical Trial Protocol 9,Phase II,Active,249
PROT_010,Clinical Trial Protocol 10,Phase II,Completed,110
